fs_region_num,gacc_abbv,gacc_name
1,NRCC,Northern Rockies Coordination Center
2,RMACC,Rocky Montain Area Coordination Center
3,SWCC,Southwest Coordination Center
4,EGBCC,Eastern Great Basin Coordination Center
4,WGBCC,Western Great Basin Coordination Center
5,ONCC,Northern California Geographic Area Coordination Center
5,OSCC,Southern California Geographic Area Coordination Center 
6,NWCC,Northwest Coordination Center
8,SACC,Southern Area Coordination Center
9,EACC,Eastern Area Coordination Center
10,AICC,Alaska Interagency Coordination Center
