id,long,lat
1,-116.0,45.0
2,-114.0,45.0
3,-117.0,44.0
4,-115.0,44.0
5,-113.0,44.0
6,-111.0,44.0
7,-116.0,43.0
8,-114.0,43.0
9,-112.0,43.0
10,-110.0,43.0
11,-117.0,42.0
12,-115.0,42.0
13,-113.0,42.0
14,-111.0,42.0
15,-114.0,41.0
16,-112.0,41.0
17,-110.0,41.0
18,-113.0,40.0
19,-111.0,40.0
20,-109.0,40.0
21,-114.0,39.0
22,-112.0,39.0
23,-110.0,39.0
24,-113.0,38.0
25,-111.0,38.0
26,-109.0,38.0
27,-114.0,37.0
28,-112.0,37.0
29,-110.0,37.0
30,-113.0,36.0
31,-126.0,49.0
32,-120.0,49.0
33,-114.0,49.0
34,-126.0,45.0
35,-120.0,45.0
36,-108.0,45.0
37,-126.0,41.0
38,-120.0,41.0
39,-108.0,41.0
40,-102.0,41.0
41,-126.0,37.0
42,-120.0,37.0
43,-108.0,37.0
44,-102.0,37.0
45,-126.0,33.0
46,-120.0,33.0
47,-114.0,33.0
48,-108.0,33.0
49,-102.0,33.0
50,-126.0,29.0
51,-120.0,29.0
52,-114.0,29.0
53,-108.0,29.0
