id,lat,long
1,36,-112
2,36,-111
3,36,-110
4,36,-109
5,36,-108
6,36,-107
7,36,-106
8,36,-105
9,36,-104
10,36,-103
11,36,-102
12,36,-101
13,36,-100
14,36,-99.0
15,36,-98.0
16,36,-97.0
17,36,-96.0
18,36,-95.0
19,36,-94.0
20,36,-93.0
21,37,-112
22,37,-111
23,37,-110
24,37,-109
25,37,-108
26,37,-107
27,37,-106
28,37,-105
29,37,-104
30,37,-103
31,37,-102
32,37,-101
33,37,-100
34,37,-99.0
35,37,-98.0
36,37,-97.0
37,37,-96.0
38,37,-95.0
39,37,-94.0
40,37,-93.0
41,38,-112
42,38,-111
43,38,-110
44,38,-109
45,38,-108
46,38,-107
47,38,-106
48,38,-105
49,38,-104
50,38,-103
51,38,-102
52,38,-101
53,38,-100
54,38,-99.0
55,38,-98.0
56,38,-97.0
57,38,-96.0
58,38,-95.0
59,38,-94.0
60,38,-93.0
61,39,-112
62,39,-111
63,39,-110
64,39,-109
65,39,-108
66,39,-107
67,39,-106
68,39,-105
69,39,-104
70,39,-103
71,39,-102
72,39,-101
73,39,-100
74,39,-99.0
75,39,-98.0
76,39,-97.0
77,39,-96.0
78,39,-95.0
79,39,-94.0
80,39,-93.0
81,40,-112
82,40,-111
83,40,-110
84,40,-109
85,40,-108
86,40,-107
87,40,-106
88,40,-105
89,40,-104
90,40,-103
91,40,-102
92,40,-101
93,40,-100
94,40,-99.0
95,40,-98.0
96,40,-97.0
97,40,-96.0
98,40,-95.0
99,40,-94.0
100,40,-93.0
101,41,-112
102,41,-111
103,41,-110
104,41,-109
105,41,-108
106,41,-107
107,41,-106
108,41,-105
109,41,-104
110,41,-103
111,41,-102
112,41,-101
113,41,-100
114,41,-99.0
115,41,-98.0
116,41,-97.0
117,41,-96.0
118,41,-95.0
119,41,-94.0
120,41,-93.0
121,42,-112
122,42,-111
123,42,-110
124,42,-109
125,42,-108
126,42,-107
127,42,-106
128,42,-105
129,42,-104
130,42,-103
131,42,-102
132,42,-101
133,42,-100
134,42,-99.0
135,42,-98.0
136,42,-97.0
137,42,-96.0
138,42,-95.0
139,42,-94.0
140,42,-93.0
141,43,-112
142,43,-111
143,43,-110
144,43,-109
145,43,-108
146,43,-107
147,43,-106
148,43,-105
149,43,-104
150,43,-103
151,43,-102
152,43,-101
153,43,-100
154,43,-99.0
155,43,-98.0
156,43,-97.0
157,43,-96.0
158,43,-95.0
159,43,-94.0
160,43,-93.0
161,44,-112
162,44,-111
163,44,-110
164,44,-109
165,44,-108
166,44,-107
167,44,-106
168,44,-105
169,44,-104
170,44,-103
171,44,-102
172,44,-101
173,44,-100
174,44,-99.0
175,44,-98.0
176,44,-97.0
177,44,-96.0
178,44,-95.0
179,44,-94.0
180,44,-93.0
181,45,-112
182,45,-111
183,45,-110
184,45,-109
185,45,-108
186,45,-107
187,45,-106
188,45,-105
189,45,-104
190,45,-103
191,45,-102
192,45,-101
193,45,-100
194,45,-99.0
195,45,-98.0
196,45,-97.0
197,45,-96.0
198,45,-95.0
199,45,-94.0
200,45,-93.0
201,46,-112
202,46,-111
203,46,-110
204,46,-109
205,46,-108
206,46,-107
207,46,-106
208,46,-105
209,46,-104
210,46,-103
211,46,-102
212,46,-101
213,46,-100
214,46,-99.0
215,46,-98.0
216,46,-97.0
217,46,-96.0
218,46,-95.0
219,46,-94.0
220,46,-93.0
221,47,-112
222,47,-111
223,47,-110
224,47,-109
225,47,-108
226,47,-107
227,47,-106
228,47,-105
229,47,-104
230,47,-103
231,47,-102
232,47,-101
233,47,-100
234,47,-99.0
235,47,-98.0
236,47,-97.0
237,47,-96.0
238,47,-95.0
239,47,-94.0
240,47,-93.0
